PR,import_sha,import_time,latency
10279,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,1257.1666666666667
10280,1eaa59e0a022fca35165a34729f2b3b9305dd05b,2018-04-04T13:55:51+00:00,991.6
10285,29cc37fa205ee4a8b0c0ff1042673d6b26857508,2018-04-05T22:40:59+00:00,335.98333333333335
10286,0fd5eef3718091afed6304933f6103b0fff647bc,2018-04-03T21:20:06+00:00,229.43333333333334
10291,f9bbc3d125864edf756bc2df4994df23b6b5ea5b,2018-05-07T02:36:37+00:00,198.25
10294,1eaa59e0a022fca35165a34729f2b3b9305dd05b,2018-04-04T13:55:51+00:00,716.6833333333333
10296,35cd2a5ee5c4dc0bf6d1e05c38391b8c28fcc302,2018-07-05T09:46:55+00:00,216.61666666666667
10302,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,556.7666666666667
10305,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,1201.8
10306,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,1186.5166666666667
10307,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,1150.3166666666666
10308,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,1119.9166666666667
10309,f1282db35b7db81cb5b819d3c5e070254661b11a,2018-04-09T08:28:05+00:00,268.15
10310,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,1092.4333333333334
10311,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,970.2
10313,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,981.6
10314,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,1036.0666666666666
10315,29cc37fa205ee4a8b0c0ff1042673d6b26857508,2018-04-05T22:40:59+00:00,369.3333333333333
10316,f1282db35b7db81cb5b819d3c5e070254661b11a,2018-04-09T08:28:05+00:00,195.06666666666666
10317,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,958.0833333333334
10321,29cc37fa205ee4a8b0c0ff1042673d6b26857508,2018-04-05T22:40:59+00:00,508.5833333333333
10322,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,209.78333333333333
10323,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,208.41666666666666
10324,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,734.45
10326,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,395.6166666666667
10327,b85595e01af0167dc6181558ee7abce7f30358c5,2018-04-05T14:02:07+00:00,287.5
10328,29cc37fa205ee4a8b0c0ff1042673d6b26857508,2018-04-05T22:40:59+00:00,686.05
10329,2b719243d3d988edd9e46ab9a5a311266f56c2a0,2018-06-07T14:50:13+00:00,397.1
10332,6627732d5b0f5c1d6ade53d1e3fac22905bb2ec5,2018-04-06T15:44:30+00:00,893.0333333333333
10333,6627732d5b0f5c1d6ade53d1e3fac22905bb2ec5,2018-04-06T15:44:30+00:00,1178.4666666666667
10334,e58646c642eeb168f75575d928c80063e4f24e46,2018-04-11T04:43:52+00:00,2309.766666666667
10335,6627732d5b0f5c1d6ade53d1e3fac22905bb2ec5,2018-04-06T15:44:30+00:00,1212.0166666666667
10336,13f227baa3bcec96f6c54703863b6734280714ab,2018-04-06T23:51:33+00:00,229.33333333333334
10337,6627732d5b0f5c1d6ade53d1e3fac22905bb2ec5,2018-04-06T15:44:30+00:00,160.46666666666667
